Title,Body,Labels,Milestone,Assignee
[EPIC] Identidade e perfis (auth, RBAC, multi-clínica),Configurar autenticação web e base de papéis e permissões (clínica, profissional, secretária, paciente) com escopo multi-clínica.,epic,MVP,
[EPIC] Agenda e serviços (regras, bloqueios, disponibilidade),Criar regras de agenda por profissional/unidade e serviços com duração e modalidade.,epic,MVP,
[EPIC] Agendamentos (fluxo paciente + gestão secretária),Fluxo completo de agendamento com reservas e estados.,epic,MVP,
[EPIC] Pagamentos (Pix/cartão, split, recibos),Integração com gateway para Pix/cartão + split e recibos.,epic,MVP,
[EPIC] Prontuário básico,Registro simples de atendimento e histórico.,epic,MVP,
[EPIC] Notificações (e-mail),Confirmação e lembretes por e-mail.,epic,MVP,
[EPIC] Relatórios financeiros,Resumo de recebimentos, pendências e estornos.,epic,MVP,
[US] Login e cadastro de usuários,Implementar login/cadastro com validação de e-mail e recuperação de senha.,auth;rbac,MVP,
[US] Gestão de roles e permissões,CRUD de roles/permissões e associação com usuários.,auth;rbac,MVP,
[US] Cadastro de clínicas e unidades,CRUD de clínica e unidades com endereço obrigatório.,cadastro;clinic,MVP,
[US] Cadastro de profissionais,Vincular profissionais a unidades e especialidades.,cadastro;professionals,MVP,
[US] Cadastro de serviços,Criar serviços com duração, preço e modalidade.,cadastro;services,MVP,
[US] Regras de agenda semanais,Definir horários de atendimento por dia e unidade.,agenda,MVP,
[US] Bloqueios de agenda,Criar bloqueios pontuais (férias, eventos).,agenda,MVP,
[US] Visualização de agenda,Agenda diária/semanal para profissional e secretária.,agenda;ui,MVP,
[US] Busca de profissionais,Página de busca com filtros por especialidade/cidade/convênio.,patient;search,MVP,
[US] Horários disponíveis,Exibir slots disponíveis baseado nas regras e bloqueios.,patient;agenda,MVP,
[US] Criar agendamento,Fluxo de escolha de horário e confirmação com reserva temporária.,appointments,MVP,
[US] Remarcar/cancelar agendamento,Permitir remarcação/cancelamento respeitando política.,appointments,MVP,
[US] Status do agendamento,Estados: reservada -> pendente_pagamento -> confirmada -> em_atendimento -> concluida.,appointments,MVP,
[US] Pagamento Pix,Gerar QR Code e atualizar status via webhook.,payments;pix,MVP,
[US] Pagamento cartão,Capturar/autorizar cobrança e atualizar status via webhook.,payments;card,MVP,
[US] Pagamento pós-atendimento,Permitir cobrança após consulta com status financeiro pendente.,payments,MVP,
[US] Split de pagamento,Regras de repasse clínica/profissional.,payments;split,MVP,
[US] Recibos e nota,Geração de recibo/nota quando aplicável.,payments;invoice,MVP,
[US] Check-in do paciente,Secretária marca status em_atendimento.,appointments;frontdesk,MVP,
[US] Prontuário básico,Registrar anotação da consulta e histórico do paciente.,medical_records,MVP,
[US] Convênios aceitos,Marcar convênios por profissional/serviço e exibir no perfil.,insurance,MVP,
[US] Notificações e-mail,Enviar confirmação, lembrete e cancelamento por e-mail.,notifications;email,MVP,
[US] Relatório financeiro básico,Resumo por período com recebidos, pendentes e estornos.,finance;reports,MVP,
[US] Expiração de reserva,Job que expira reserva e libera horário.,appointments;jobs,MVP,
